term,pos,comment,translation_ko,comment_ko
right-hand side,Noun,,우변,
river,,,강,
root,,,관리자,
row,,,행,
ruggedness,Noun,,기복,
rule,,,규칙,
run,Verb,,실행하다,
save,,,저장하다,
save,Noun,,저장,
scale,Noun,,축척,
scan,,,스캔하다,
scatter plot,,,산점도,
schema,,,스키마,
scientific format,Noun,,과학적 기수법,
screen,,,화면,
script,,,스크립트,
search,Noun,,검색,
search,Verb,,검색하다,
search path,Noun,,검색 경로,
second,Adjective,,두 번째,
seed,Noun,,씨앗,
segment,,,분절,
segmentation,Verb,,분할,
separator,Noun,,구분자,
series,,,계열,
session,,,세션,
set,Noun,,세트,
set,Verb,,설정하다,
set up,,,설정하다,
setting,Noun,,설정,
setup,Noun,,설정,
shell,,,셸,
show,,,보여 주다,
signature,,,서명,
similarity,Noun,,상사성,
simple,,,단순한,
singular,,,단독적인,
sites map,Noun,,사이트 지도,
skeleton,Noun,,스켈레톤,
skip,Noun,,건너뛰다,
slice,Noun,,(지도) 슬라이스,
slope,,,경사,
smooth,Verb,,평탄하게 하다,
smoothing,Noun,,평탄화,
smoothness,Noun,,평활도,
snap,Verb,,스냅하다,
snapping,Noun,,스냅핑,
socket,Noun,,소켓,
software,Noun,,소프트웨어,
solution matrix,,,해행렬,
solve,Verb,,풀다,
sort,Verb,,정렬하다,
source,,,"원천 (데이터), 소스 (코드)",
space time,,,시공간,
space time * dataset,,,시공간 * 자료세트,
spatial,,,공간,
spatial index,Noun,,공간 색인,
spec,,,사양,
specification,,,사양,
specify,,,지정하다,
spectral,Adjective,,스펙트럼의,
spectral signature file,Noun,,스펙트럼 서명 파일,
spelling,,,철자,
sphere,Noun,,구체,
spline,Noun,,스플라인,
square,Adjective,,(행렬이) 정방형인,
square matrix,Noun,,정방행렬,
standard deviation,,,표준편차,
status,,,상태,
stdin,Noun,,표준 입력,
steepness,,,가파르기,
stop,,,정지점,
stream,,,"(일반적인 물의 흐름) 하천, (작은 하천) 천",
string,Noun,,문자열,
style,Noun,,형식,
subgroup,,,부그룹,
subnet,Noun,,서브넷,
subregion,Noun,,부영역,
subsignature,,,부서명,
sum,Noun,,(수학) 합셈,
summary,Noun,,요약,
sun,,,해,
supervised,Adjective,,감독,
suppress,,,억제하다,
surface,Noun,,표면,
swale,Noun,,저습지,
swipe,Verb,,밀다,
switch,,,전환하다,
symbol,,,심벌,
syntax,Verb,,구문,
